BFS,Regionen,Steuerfuss_oK,,
1 ,Aeugst a.A.,119 ,,
2 ,Affoltern a.A.,111 ,,
3 ,Bonstetten,119 ,,
4 ,Hausen a.A.,109 ,,
5 ,Hedingen,119 ,,
6 ,Kappel a.A.,109 ,,
7 ,Knonau,114 ,,
8 ,Maschwanden,112 ,,
9 ,Mettmenstetten,112 ,,
10 ,Obfelden,110 ,,
11 ,Ottenbach,112 ,,
12 ,Rifferswil,113 ,,
13 ,Stallikon,97 ,,
14 ,Wettswil a.A.,99 ,,
21 ,Adlikon,115 ,,
30 ,Andelfingen,116 ,,
22 ,Benken,109 ,,
23 ,Berg a.I.,109 ,,
24 ,Buch a.I.,119 ,,
25 ,Dachsen,119 ,,
26 ,Dorf,115 ,,
27 ,Feuerthalen,115 ,,
28 ,Flaach,114 ,,
29 ,Flurlingen,119 ,,
31 ,Henggart,112 ,,
32 ,Humlikon,114 ,,
33 ,Kleinandelfingen,117 ,,
34 ,Laufen-Uhwiesen,112 ,,
35 ,Marthalen,114 ,,
36 ,Oberstammheim,119 ,,
37 ,Ossingen,119 ,,
38 ,Rheinau,114 ,,
39 ,Thalheim a.d.Th.,114 ,,
40 ,Trüllikon,117 ,,
41 ,Truttikon,119 ,,
42 ,Unterstammheim,117 ,,
43 ,Volken,119 ,,
44 ,Waltalingen,119 ,,
51 ,Bachenbülach,112 ,,
52 ,Bassersdorf,117 ,,
53 ,Bülach,116 ,,
54 ,Dietlikon,100 ,,
55 ,Eglisau,119 ,,
56 ,Embrach,115 ,,
57 ,Freienstein-Teufen,115 ,,
58 ,Glattfelden,109 ,,
59 ,Hochfelden,112 ,,
60 ,Höri,113 ,,
61 ,Hüntwangen,113 ,,
62 ,Kloten,92 ,,
63 ,Lufingen,112 ,,
64 ,Nürensdorf,109 ,,
65 ,Oberembrach,117 ,,
66 ,Opfikon,87 ,,
67 ,Rafz,109 ,,
68 ,Rorbas,115 ,,
69 ,Wallisellen,80 ,,
70 ,Wasterkingen,119 ,,
71 ,Wil,116 ,,
72 ,Winkel,94 ,,
81 ,Bachs,117 ,,
82 ,Boppelsen,112 ,,
83 ,Buchs,107 ,,
84 ,Dällikon,91 ,,
85 ,Dänikon,109 ,,
86 ,Dielsdorf,119 ,,
87 ,Hüttikon,110 ,,
88 ,Neerach,98 ,,
89 ,Niederglatt,114 ,,
90 ,Niederhasli,119 ,,
91 ,Niederweningen,119 ,,
92 ,Oberglatt,119 ,,
93 ,Oberweningen,112 ,,
94 ,Otelfingen,114 ,,
95 ,Regensberg,112 ,,
96 ,Regensdorf,108 ,,
97 ,Rümlang,100 ,,
98 ,Schleinikon,119 ,,
99 ,Schöfflisdorf,113 ,,
100 ,Stadel,112 ,,
101 ,Steinmaur,117 ,,
102 ,Weiach,92 ,,
241 ,Aesch,107 ,,
242 ,Birmensdorf,95 ,,
243 ,Dietikon,117 ,,
244 ,Geroldswil,85 ,,
245 ,Oberengstringen,100 ,,
246 ,Oetwil a.d.L.,91 ,,
247 ,Schlieren,108 ,,
248 ,Uitikon,82 ,,
249 ,Unterengstringen,100 ,,
250 ,Urdorf,111 ,,
251 ,Weiningen,103 ,,
111 ,Bäretswil,114 ,,
112 ,Bubikon,116 ,,
113 ,Dürnten,115 ,,
114 ,Fischenthal,119 ,,
115 ,Gossau,119 ,,
116 ,Grüningen,116 ,,
117 ,Hinwil,114 ,,
118 ,Rüti,110 ,,
119 ,Seegräben,119 ,,
120 ,Wald,112 ,,
121 ,Wetzikon,113 ,,
131 ,Adliswil,115 ,,
132 ,Hirzel,119 ,,
133 ,Horgen,94 ,,
134 ,Hütten,115 ,,
135 ,Kilchberg,91 ,,
136 ,Langnau a.A.,103 ,,
137 ,Oberrieden,101 ,,
138 ,Richterswil,114 ,,
139 ,Rüschlikon,87 ,,
140 ,Schönenberg,110 ,,
141 ,Thalwil,90 ,,
142 ,Wädenswil,110 ,,
151 ,Erlenbach,95 ,,
152 ,Herrliberg,90 ,,
153 ,Hombrechtikon,119 ,,
154 ,Küsnacht,90 ,,
155 ,Männedorf,106 ,,
156 ,Meilen,82 ,,
157 ,Oetwil a.S.,119 ,,
158 ,Stäfa,100 ,,
159 ,Uetikon a.S.,108 ,,
161 ,Zollikon,97 ,,
160 ,Zumikon,85 ,,
171 ,Bauma,115 ,,
172 ,Fehraltorf,112 ,,
173 ,Hittnau,119 ,,
174 ,Illnau-Effretikon,112 ,,
175 ,Kyburg,109 ,,
176 ,Lindau,108 ,,
177 ,Pfäffikon,119 ,,
178 ,Russikon,115 ,,
179 ,Sternenberg,119 ,,
180 ,Weisslingen,114 ,,
181 ,Wila,117 ,,
182 ,Wildberg,117 ,,
191 ,Dübendorf,94 ,,
192 ,Egg,108 ,,
193 ,Fällanden,96 ,,
194 ,Greifensee,119 ,,
195 ,Maur,88 ,,
196 ,Mönchaltorf,119 ,,
197 ,Schwerzenbach,95 ,,
198 ,Uster,112 ,,
199 ,Volketswil,105 ,,
200 ,Wangen-Brüttisellen,105 ,,
211 ,Altikon,114 ,,
212 ,Bertschikon,112 ,,
213 ,Brütten,107 ,,
214 ,Dägerlen,119 ,,
215 ,Dättlikon,119 ,,
216 ,Dinhard,109 ,,
217 ,Elgg,112 ,,
218 ,Ellikon a.d.Th.,116 ,,
219 ,Elsau,110 ,,
220 ,Hagenbuch,114 ,,
221 ,Hettlingen,96 ,,
222 ,Hofstetten,119 ,,
223 ,Neftenbach,112 ,,
224 ,Pfungen,113 ,,
225 ,Rickenbach,112 ,,
226 ,Schlatt,119 ,,
227 ,Seuzach,108 ,,
228 ,Turbenthal,119 ,,
229 ,Wiesendangen,118 ,,
230 ,Winterthur,116 ,,
231 ,Zell,113 ,,
261 ,Zürich,118 ,,